stage,task,sweep,seed,best_test_acc,final_test_acc,best_test_acc_mc,delta_pp,n_points,final_iter
st02,parity,tick10,2.0,0.616330101376488,0.6155241466703869,0.6788911365327381,-6.336989862351194,201,200000
st02,parity,tick10,,0.5937421526227677,0.5927365257626488,0.7465239025297619,-8.595784737723221,201,200000
st02,parity,tick2,1.0,0.6092151460193452,0.6069147019159227,0.6876511346726191,-7.048485398065473,201,200000
st02,parity,tick2,2.0,0.6227620442708334,0.6227358863467263,0.6733253115699405,-5.69379557291666,201,200000
st02,parity,tick2,,0.6204703194754464,0.6194312686011905,0.6697939918154762,-5.922968052455357,201,200000
st02,parity,tick25,1.0,0.6432841564360119,0.6423814174107143,0.8988938104538691,-3.641584356398808,201,200000
st02,parity,tick25,2.0,0.6537687174479168,0.6529360816592262,0.9147135416666666,-2.5931282552083212,201,200000
st02,parity,tick25,,0.6021952892485118,0.6010184151785715,0.7966860816592262,-7.750471075148813,201,200000
st02,parity,tick5,1.0,0.6042271205357143,0.6028378441220238,0.7295474097842262,-7.547287946428572,201,200000
st02,parity,tick5,2.0,0.6017839704241071,0.6014915829613094,0.7171282087053571,-7.791602957589284,201,200000
st02,parity,tick5,,0.5992536272321428,0.597451636904762,0.6977800641741071,-8.044637276785716,201,200000
st02,parity,tick50,1.0,0.7358647228422618,0.7351407296316964,0.9621930803571428,5.616472284226182,201,200000
st02,parity,tick50,2.0,0.6553459821428572,0.655014415922619,0.8056291852678571,-2.435401785714275,201,200000
st02,parity,tick50,,0.78118896484375,0.7803242420014881,1.0,10.148896484375003,201,200000
st03,parity,sd1_mh2,1.0,0.6035737537202381,0.6019839332217263,0.65435791015625,-7.612624627976183,201,200000
st03,parity,sd1_mh2,2.0,0.6103108723958333,0.6094534737723214,0.66925048828125,-6.938912760416671,201,200000
st03,parity,sd1_mh2,,0.6112598237537202,0.6098254975818452,0.6583135695684523,-6.844017624627973,201,200000
st03,parity,sd2_mh2,1.0,0.604522705078125,0.6032438732328869,0.6602899460565477,-7.517729492187497,201,200000
st03,parity,sd2_mh2,2.0,0.6040591285342263,0.6032031831287202,0.6769321986607143,-7.56408714657737,201,200000
st03,parity,sd2_mh2,,0.6124776204427084,0.6116652715773809,0.6806349981398809,-6.72223795572916,201,200000
st04,parity,jepa_pd1,1.0,0.6362521701388889,0.6357064189608136,0.6415724981398809,-4.344782986111106,161,160000
st08,parity,sparsity0.25,1.0,0.7077302672371032,0.707051285032242,0.9689069475446428,2.8030267237103224,201,200000
st08,parity,sparsity0.25,2.0,0.6848913380456351,0.6491181098090277,0.9999447777157738,0.5191338045635097,201,200000
st08,parity,sparsity0.25,,0.6797130766369047,0.6797026909722222,0.8820684523809523,0.0013076636904751915,201,200000
st08,parity,sparsity0.75,1.0,0.7077302672371032,0.707051285032242,0.9689069475446428,2.8030267237103224,201,200000
st08,parity,sparsity0.75,2.0,0.6848913380456351,0.6491181098090277,0.9999447777157738,0.5191338045635097,201,200000
st08,parity,sparsity0.75,,0.6797130766369047,0.6797026909722222,0.8820684523809523,0.0013076636904751915,201,200000
st10,parity,revise,1.0,0.7077302672371032,0.707051285032242,0.9689069475446428,2.8030267237103224,201,200000
st10,parity,revise,,0.6797130766369047,0.6797026909722222,0.8820684523809523,0.0013076636904751915,201,200000
st00,qamnist,paper,0.0,0.3662439123376623,0.2341331845238095,0.9953497023809524,0.004391233766226632,201,200000
st02,qamnist,repeat1,1.0,0.4641842532467533,0.2530459449404761,0.99609375,9.798425324675325,201,200000
st02,qamnist,repeat1,2.0,0.5794005102040816,0.4148596938775509,0.9951636904761904,21.320051020408155,201,200000
st02,qamnist,repeat1,,0.4282366071428571,0.2270275297619047,0.9955357142857144,6.203660714285708,201,200000
st02,qamnist,repeat10,2.0,0.2840242346938775,0.2279868197278911,0.9947916666666666,-8.217576530612252,201,200000
